Feature,Importance
Street,0.3988622491362025
Traffic_Signal,0.16185307703234847
TimeDiff,0.12214040849658386
Distance(mi),0.10900400844791847
Start_Lng,0.05217577385086606
State,0.04365972283928261
County,0.04155185068341447
Start_Lat,0.03529387940473642
Airport_Code,0.016372676975425805
City,0.010410325653212973
Sunrise_Sunset,0.003464194424740069
Year,0.002971621707217276
Weather_Condition,0.0010925539225367419
Wind_Chill(F),0.0005980471375067271
Visibility(mi),0.0004297406111941327
Temperature(F),9.869731041541757e-05
Wind_Direction,2.1172366397919088e-05
