Feature,Importance
Street,0.22550492506888178
Start_Lng,0.10158854481517102
Start_Lat,0.0976124858043516
TimeDiff,0.09701840300796316
Distance(mi),0.058865536346174675
County,0.0514710530981802
Traffic_Signal,0.050470378711290086
City,0.04988467205218491
Wind_Chill(F),0.048088150827072344
Airport_Code,0.0468279454987455
Temperature(F),0.04018712826759747
State,0.03745072965664758
Wind_Direction,0.03417069466537461
Weather_Condition,0.02304673240694439
Visibility(mi),0.014497228525799438
Year,0.013434457399706617
Sunrise_Sunset,0.009880933847914436
