Severity,Distance(mi),Street,City,Country,State,Temperature(F),Wind_Chill(F),Visibility(mi),Wind_Direction,Weather_Condition,Traffic_Signal,Sunrise_Sunset
2,0.01,35986,6679,243,33,36.0,33.3,10.0,15,46,1,1
3,0.01,19445,1468,759,33,35.1,31.0,9.0,15,43,0,1
2,0.01,23348,1468,759,33,36.0,33.3,6.0,15,43,1,0
3,0.01,41325,6596,399,33,37.9,35.5,7.0,14,30,0,0
2,0.0,26102,1468,759,33,34.0,31.0,7.0,21,46,0,0
3,0.01,25347,1468,759,33,34.0,31.0,7.0,21,46,0,0
3,0.01,41325,6596,399,33,37.4,33.8,3.0,14,30,0,0
3,0.01,28403,1237,399,33,35.6,30.7,5.0,20,50,0,0
3,0.01,19432,5100,399,33,37.4,33.8,3.0,14,30,0,0
2,0.01,34058,1468,759,33,36.0,31.1,10.0,9,43,1,0
2,0.01,12743,1237,399,33,37.4,33.8,3.0,14,30,1,0
2,0.0,11635,1468,759,33,36.0,31.1,10.0,9,43,0,0
2,0.01,31329,1468,759,33,37.4,32.1,10.0,21,46,1,0
2,0.01,39739,1468,759,33,36.0,30.3,10.0,22,43,0,0
2,0.0,8162,1237,399,33,33.8,29.6,2.0,8,34,0,0
2,0.0,29832,1468,759,33,36.0,30.3,10.0,22,43,0,0
2,0.01,35484,3811,759,33,35.1,28.6,6.0,21,46,1,0
3,0.01,27297,1237,399,33,37.0,32.4,8.0,22,46,0,0
2,0.01,18780,1468,759,33,37.9,30.9,10.0,20,46,1,0
2,0.0,19793,1468,759,33,36.0,29.0,7.0,22,34,1,0
2,0.0,39685,1468,759,33,39.9,32.9,10.0,20,43,1,0
2,0.01,21694,1468,759,33,39.9,34.5,10.0,20,43,0,0
2,0.0,12467,1468,759,33,39.2,35.9,10.0,7,43,0,0
2,0.01,15704,1621,399,33,37.0,31.6,10.0,22,46,1,0
2,0.0,6989,1468,759,33,34.2,31.2,10.0,9,30,0,0
2,0.01,28206,1237,399,33,33.1,26.1,7.0,20,34,0,1
2,0.01,32682,1468,759,33,23.0,11.7,5.0,15,34,0,1
2,0.01,11814,851,380,33,23.0,11.7,2.5,21,34,1,1
2,0.01,20715,1468,759,33,22.8,11.5,4.0,15,34,0,1
3,0.01,36158,1237,399,33,26.6,18.2,1.5,22,34,0,1
2,0.0,23700,3282,1206,33,21.0,10.6,0.8,15,34,0,1
2,0.01,5501,1468,759,33,23.0,12.4,3.0,15,34,1,1
2,0.01,33201,5311,245,33,19.9,6.7,1.8,21,34,0,1
3,0.01,12743,1237,399,33,25.0,15.5,1.0,15,34,0,1
3,0.01,7071,1468,759,33,23.0,10.1,2.0,22,34,1,1
3,0.01,14188,1237,399,33,25.0,15.5,1.0,15,34,0,1
2,0.01,20495,1237,399,33,26.1,15.0,2.0,22,34,1,1
3,0.01,32355,1237,399,33,24.8,16.1,1.0,15,34,0,1
2,0.01,7859,1468,759,33,23.0,11.7,4.0,15,34,1,1
3,0.01,19445,1468,759,33,23.0,11.7,4.0,15,34,0,1
2,0.01,25347,1468,759,33,21.9,9.8,2.0,21,34,0,1
2,0.01,30750,1468,759,33,21.9,9.8,2.0,21,34,0,1
3,0.01,25347,1468,759,33,21.9,9.8,2.0,21,34,0,1
3,0.01,28403,1237,399,33,21.2,8.3,1.5,21,34,0,1
3,0.01,23348,1468,759,33,21.0,10.6,1.2,21,34,0,1
